,cost,opt,ratio,time,V,E,R
291,15,15,1.0,0.00036793696926906705,12,66,3
292,25,25,1.0,0.00023355300072580576,7,21,4
293,53,53,1.0,0.0005626449710689485,12,66,7
294,30,30,1.0,0.00023113901261240244,9,36,3
295,51,48,1.0625,0.0007273770170286298,16,120,7
296,40,40,1.0,0.0003273240872658789,10,45,5
297,15,15,1.0,0.00018750596791505814,5,10,4
298,24,21,1.1428571428571428,0.0002806329866871238,14,91,4
299,33,32,1.03125,0.00030778994550928473,7,21,4
300,34,34,1.0,0.0002420659875497222,6,15,5
301,44,42,1.0476190476190477,0.0005673299892805517,20,190,7
302,35,35,1.0,0.00029897899366915226,16,120,4
303,43,43,1.0,0.0003073230618610978,8,28,5
304,22,22,1.0,0.000260298082139343,14,91,3
305,32,32,1.0,0.00017543003195896745,8,28,3
306,24,24,1.0,0.0002513530198484659,6,15,5
307,59,58,1.0172413793103448,0.0008077780366875231,15,105,7
308,25,23,1.0869565217391304,0.0003297340008430183,12,66,4
309,26,26,1.0,0.0003207510453648865,17,136,3
310,29,29,1.0,0.00023897201754152775,12,66,3
311,22,22,1.0,0.00021822500275447965,5,10,3
312,45,38,1.1842105263157894,0.00037178496131673455,5,10,3
313,30,30,1.0,0.0002257720334455371,9,36,3
314,33,32,1.03125,0.0004695630050264299,20,190,6
315,31,31,1.0,0.00023701501777395606,6,15,4
316,33,31,1.064516129032258,0.000381843070499599,17,136,3
317,41,41,1.0,0.000349587993696332,17,136,5
318,32,32,1.0,0.00023680401500314474,7,21,3
319,35,35,1.0,0.0006533620180562139,14,91,7
320,39,39,1.0,0.0004246680182404816,19,171,5
321,22,22,1.0,0.0002837269566953182,16,120,4
322,46,45,1.0222222222222221,0.00042516301618888974,16,120,7
323,39,39,1.0,0.00020418298663571477,7,21,4
324,48,46,1.0434782608695652,0.00047863100189715624,20,190,6
325,19,18,1.0555555555555556,0.00032605091109871864,19,171,4
326,26,26,1.0,0.0003650400321930647,16,120,4
327,26,26,1.0,0.00028941797791048884,12,66,5
328,44,40,1.1,0.0004099300131201744,16,120,5
329,42,42,1.0,0.00020914501510560513,6,15,6
330,34,34,1.0,0.00025131605798378587,8,28,5
